timestamp,SYSp,AYSp,SOSp,AOSp,RASp,RSSp,AReSp,SReSp,SYLp,AYLp,SOLp,AOLp,RALp,RSLp,AReLp,SReLp,Op,sum
3044.0,0.11587853622019764,0.046441288892447224,0.05514915984419544,0.02205988142870867,4.503992790223194E-6,2.3648980685273807E-4,3.7494751021910686E-6,9.373601374964248E-6,0.003272765522773387,0.0013091621111215703,0.0015545361832173866,6.218161774236003E-4,5.8874329874067376E-9,1.5873467143317153E-7,1.0568887942589625E-7,2.6422148175408055E-7,0.7534582022113306,1.0000000000000013
3045.0,0.11581423476111524,0.046415518435346276,0.055133792369044234,0.022053734317887902,4.5014933123644345E-6,2.3635857253944344E-4,3.748430660591627E-6,9.37099031892959E-6,0.003270949452102315,0.0013084356518314661,0.0015541029974650317,6.216429021760784E-4,5.8841656505768996E-9,1.5864658205407612E-7,1.056594386260977E-7,2.6414788015274776E-7,0.7535730752881349,1.0000000000000013
3046.0,0.11574997156664328,0.0463897633137695,0.05511842373449239,0.022047586743378794,4.498995322030263E-6,2.3622741632476921E-4,3.7473861397084542E-6,9.368379064657043E-6,0.0032691344621414244,0.0013077096248438958,0.0015536697790439812,6.21469613861642E-4,5.880900258333787E-9,1.585585450999967E-7,1.0562999559204826E-7,2.640742729655505E-7,0.7536878948412613,1.0000000000000013
3047.0,0.11568574661226383,0.04636402351789071,0.05510305394778163,0.022041438708077985,4.49649881826747E-6,2.3609633815867178E-4,3.746341540034348E-6,9.365767613378615E-6,0.003267320552198254,0.001306984029881863,0.0015532365281583512,6.212963125619375E-4,5.877636809431253E-9,1.5847056053733918E-7,1.0560055033763815E-7,2.640006602272145E-7,0.7538026608956485,1.0000000000000013
3048.0,0.11562155987347579,0.04633829903789046,0.0550876830161449,0.022035290214878607,4.4940038001235E-6,2.3596533799114178E-4,3.745296862061508E-6,9.363155966324826E-6,0.0032655077215808168,0.0013062588666685614,0.0015528032450120113,6.211229983585122E-4,5.8743753026240046E-9,1.5838262833253253E-7,1.0557110287674077E-7,2.6392704197242344E-7,0.7539173734762236,1.0000000000000013
3049.0,0.11555741132579488,0.04631258986395605,0.05507231094680639,0.02202914126667029,4.49151026664645E-6,2.3583441577220424E-4,3.744252106281538E-6,9.360544124724705E-6,0.0032636959695976015,0.0013055341349273743,0.0015523699298085835,6.209496713328145E-4,5.871115736667601E-9,1.5829474845202876E-7,1.0554165322321272E-7,2.63853418235819E-7,0.7540320326079019,1.0000000000000013
3050.0,0.11549330094475356,0.046286895986281475,0.05505693774698151,0.022022991866339155,4.489018216885073E-6,2.3570357145191842E-4,3.7432072731854465E-6,9.357932089805789E-6,0.00326188529555757,0.0013048098343818749,0.001551936582751443,6.207763315661944E-4,5.867858110318457E-9,1.5820692086230282E-7,1.0551220139089383E-7,2.637797890520008E-7,0.7541466383155874,1.0000000000000013
3051.0,0.1154292287059011,0.046261217395067486,0.055041563423876956,0.022016842016767832,4.48652764988877E-6,2.3557280498037777E-4,3.742162363263646E-6,9.355319862794127E-6,0.0032600756987701584,0.0013040859647558258,0.0015515032040437189,6.206029791399029E-4,5.86460242233384E-9,1.5811914552985266E-7,1.054827473936071E-7,2.637061544555266E-7,0.7542611906241723,1.0000000000000013
3052.0,0.11536519458480352,0.04623555408052154,0.05502618798469066,0.02201069172083545,4.4840385647075955E-6,2.3544211630771003E-4,3.7411173770059562E-6,9.352707444914288E-6,0.0032582671785452754,0.0013033625257731789,0.0015510697938882936,6.204296141350926E-4,5.861348671471867E-9,1.5803142242119927E-7,1.0545329124515885E-7,2.636325144809122E-7,0.7543756895585373,1.0000000000000016
3053.0,0.11530119855704359,0.0462099060328578,0.05501081143661184,0.022004540981417645,4.4815509603922554E-6,2.3531150538407707E-4,3.7400723149016002E-6,9.350094837389349E-6,0.003256459734193304,0.0013026395171580752,0.0015506363524878035,6.20256236632818E-4,5.858096856491511E-9,1.579437515028865E-7,1.0542383295933856E-7,2.635588691626317E-7,0.7544901351435513,1.0000000000000016
3054.0,0.11523724059822082,0.04618427324229715,0.05499543378682098,0.02199838980138657,4.4790648359941054E-6,2.3518097215967495E-4,3.7390271774392102E-6,9.347482041440908E-6,0.0032546533650250997,0.0013019169386348454,0.0015502028800446392,6.200828467140346E-4,5.854846976152591E-9,1.5785613274148122E-7,1.0539437254991909E-7,2.6348521853511714E-7,0.7546045274040719,1.0000000000000013
3055.0,0.11517332068395147,0.04615865569906717,0.054980055042489866,0.021992238183610888,4.476580190565155E-6,2.3505051658473391E-4,3.737981965106824E-6,9.344869058289077E-6,0.00325284807035199,0.0013011947899280085,0.0015497693767609461,6.199094444596003E-4,5.851599029215778E-9,1.5776856610357315E-7,1.0536491003065653E-7,2.6341156263275897E-7,0.754718866364945,1.0000000000000016
3056.0,0.1151094387898685,0.046133053393402144,0.05496467521078156,0.021986086130955783,4.474097023158059E-6,2.3492013860951824E-4,3.7369366783918883E-6,9.342255889152491E-6,0.003251043849485774,0.0013004730707622727,0.0015493358428386233,6.197360299502745E-4,5.8483530144425955E-9,1.5768105155577494E-7,1.0533544541529026E-7,2.6333790148990595E-7,0.7548331520510049,1.0000000000000016
3057.0,0.11504559489162154,0.04610746631554304,0.05494929429885045,0.02197993364628296,4.471615332826125E-6,2.347898381843264E-4,3.7358913177812573E-6,9.339642535248306E-6,0.003249240701738724,0.0012997517808625348,0.0015489022784793258,6.195626032667188E-4,5.845108930595411E-9,1.5759358906472218E-7,1.0530597871754303E-7,2.6326423514086497E-7,0.7549473844870742,1.0000000000000016
3058.0,0.11498178896487696,0.04608189445573753,0.054933912313842204,0.02197378073245065,4.469135118623306E-6,2.3465961525949086E-4,3.7348458837611945E-6,9.337028997792197E-6,0.0032474386264235823,0.0012990309199538803,0.0015484686838844628,6.193891644894966E-4,5.841866776437446E-9,1.5750617859707322E-7,1.0527650995112092E-7,2.631905636199013E-7,0.7550615636979642,1.0000000000000016
