timestamp,SY,AY,SO,AO,RA,RS,ARe,SRe,sum,RA+RS,RA+Are
129,0.227161177,0.535035448,0.070748382,0.165089747,-1.53E-04,0.002078655,2.75E-05,1.18E-05,1,0.001925954,-0.000125195
130,0.227068619,0.533852537,0.071142145,0.16600867,1.11E-04,0.001777383,2.77E-05,1.19E-05,1,0.001888519,0.000138793
131,0.226631658,0.53298085,0.071534004,0.166922964,6.84E-05,0.00182242,2.78E-05,1.19E-05,1,0.001890795,9.61859E-05
132,0.226023351,0.532267137,0.07192394,0.167832678,-1.28E-04,0.002040727,2.80E-05,1.20E-05,1,0.001912948,-9.98156E-05
133,0.225679291,0.531325708,0.07231189,0.168737899,-9.17E-05,0.001996773,2.81E-05,1.20E-05,1,0.001905053,-6.36061E-05
134,0.225653608,0.530108604,0.072697854,0.169638656,2.24E-04,0.001636425,2.83E-05,1.21E-05,1,0.001860903,0.00025274
135,0.224846025,0.529589947,0.073082026,0.170534811,-1.53E-04,0.002059775,2.84E-05,1.22E-05,1,0.001906603,-0.000124758
136,0.224769514,0.528430167,0.073464163,0.171426608,1.15E-04,0.001754083,2.86E-05,1.22E-05,1,0.001868746,0.000143224
137,0.224310312,0.527615326,0.07384446,0.172313907,4.21E-05,0.001832925,2.87E-05,1.23E-05,1,0.001874983,7.07675E-05
138,0.224052476,0.526628286,0.074222829,0.173196814,1.46E-04,0.001712329,2.89E-05,1.24E-05,1,0.001858372,0.0001749
139,0.223481891,0.525924199,0.074599365,0.174075277,-2.85E-05,0.001906316,2.90E-05,1.24E-05,1,0.001877836,5.24197E-07
140,0.22334786,0.524839624,0.074973954,0.174949427,1.82E-04,0.001665694,2.91E-05,1.25E-05,1,0.001847495,0.000210949
141,0.222707218,0.524209582,0.075346761,0.175819148,-5.80E-05,0.001933469,2.93E-05,1.26E-05,1,0.001875445,-2.87299E-05
142,0.222763317,0.52296863,0.075717595,0.176684638,3.17E-04,0.001506471,2.94E-05,1.26E-05,1,0.001823766,0.000346732
143,0.222099127,0.522371336,0.076086702,0.177545711,5.34E-05,0.001801494,2.96E-05,1.27E-05,1,0.001854867,8.29535E-05
144,0.221776355,0.521477665,0.076453913,0.178402543,9.01E-05,0.001756993,2.97E-05,1.27E-05,1,0.001847061,0.000119792
145,0.22161713,0.520445071,0.076819269,0.179255131,2.70E-04,0.001550801,2.99E-05,1.28E-05,1,0.001820734,0.000299798
146,0.22096402,0.519855593,0.077182886,0.180103399,1.10E-05,0.001840234,3.00E-05,1.29E-05,1,0.001851234,4.1008E-05
147,0.220826035,0.518815858,0.077544607,0.180947516,2.06E-04,0.001616438,3.01E-05,1.29E-05,1,0.001822916,0.000236626
148,0.220064216,0.518334234,0.077904629,0.181787336,-1.52E-04,0.002018176,3.03E-05,1.30E-05,1,0.001866316,-0.00012157
149,0.220054488,0.517192491,0.078262734,0.182623083,1.54E-04,0.001669737,3.04E-05,1.30E-05,1,0.001823737,0.000184427
150,0.219462603,0.516571903,0.078619151,0.18345458,-5.71E-05,0.001905147,3.06E-05,1.31E-05,1,0.001848097,-2.64829E-05
151,0.219533468,0.515370239,0.078973684,0.184282032,3.17E-04,0.001479689,3.07E-05,1.32E-05,1,0.001796715,0.000347729
152,0.218895983,0.514801399,0.079326568,0.185105258,6.25E-05,0.001764233,3.08E-05,1.32E-05,1,0.001826734,9.33431E-05
153,0.218427442,0.514088628,0.079677666,0.185924406,-4.40E-05,0.001881617,3.10E-05,1.33E-05,1,0.001837604,-1.3034E-05
154,0.218478025,0.512921857,0.080026929,0.186739551,3.07E-04,0.001481711,3.11E-05,1.33E-05,1,0.00178919,0.000338592
155,0.21765364,0.512535346,0.080374597,0.187550505,-1.17E-04,0.001958372,3.13E-05,1.34E-05,1,0.00184127,-8.58517E-05
156,0.217554883,0.511511947,0.080720414,0.188357526,9.91E-05,0.001711253,3.14E-05,1.34E-05,1,0.001810395,0.000130526
157,0.217278259,0.510651561,0.081064538,0.1891605,1.56E-04,0.001643696,3.15E-05,1.35E-05,1,0.001800117,0.000187938
158,0.21668819,0.510074196,0.081406999,0.189959428,-6.53E-05,0.001891247,3.17E-05,1.36E-05,1,0.001825972,-3.36238E-05
159,0.216774754,0.508903239,0.081747643,0.190754475,3.11E-04,0.001463981,3.18E-05,1.36E-05,1,0.001774484,0.000342286
160,0.216072347,0.508436265,0.082086721,0.191545444,-1.36E-05,0.001827256,3.19E-05,1.37E-05,1,0.00181363,1.82903E-05
161,0.216013821,0.507404643,0.082424003,0.192332568,2.31E-04,0.001548442,3.20E-05,1.37E-05,1,0.001779185,0.000262789
162,0.215260779,0.506993321,0.08275972,0.193115668,-1.41E-04,0.001965713,3.22E-05,1.38E-05,1,0.001824545,-0.000108989
163,0.214660298,0.506452297,0.083093739,0.193894889,-3.79E-04,0.00223212,3.23E-05,1.38E-05,1,0.001852624,-0.000347186
164,0.214519146,0.505509941,0.08342602,0.194670295,-2.13E-04,0.002040936,3.24E-05,1.39E-05,1,0.001828261,-0.000180237
165,0.213932688,0.504967162,0.083756718,0.195441773,-4.42E-04,0.00229664,3.26E-05,1.40E-05,1,0.001855137,-0.000408935
166,0.213945603,0.503899008,0.084085671,0.196209495,-1.41E-04,0.001954717,3.27E-05,1.40E-05,1,0.001813519,-0.000108503
167,0.213771339,0.50300184,0.084413016,0.196973365,-8.03E-06,0.00180158,3.28E-05,1.41E-05,1,0.001793554,2.47946E-05
168,0.213718961,0.502001997,0.08473871,0.197733448,2.32E-04,0.001528209,3.29E-05,1.41E-05,1,0.001759818,0.000264556
169,0.212979886,0.501615346,0.085062895,0.198489642,-1.38E-04,0.001943047,3.31E-05,1.42E-05,1,0.001804984,-0.000104988
170,0.212396271,0.501096242,0.08538544,0.199242092,-3.72E-04,0.002204064,3.32E-05,1.42E-05,1,0.00183253,-0.000338333
171,0.212241926,0.500202234,0.085706307,0.199990856,-2.26E-04,0.002037487,3.33E-05,1.43E-05,1,0.001811072,-0.00019309
172,0.211512205,0.499822783,0.086025672,0.200735805,-5.92E-04,0.002447793,3.35E-05,1.43E-05,1,0.001855754,-0.000558588
173,0.211801864,0.498545912,0.086343277,0.201477193,-5.67E-05,0.001840473,3.36E-05,1.44E-05,1,0.001783796,-2.31046E-05
174,0.211907513,0.497437041,0.086659331,0.20221486,3.14E-04,0.001418716,3.37E-05,1.44E-05,1,0.001733122,0.000348099
175,0.211310053,0.49695574,0.086973926,0.202948749,6.17E-05,0.001701529,3.38E-05,1.45E-05,1,0.001763224,9.55119E-05
176,0.210820072,0.496384313,0.087286936,0.203678997,-9.72E-05,0.001878449,3.39E-05,1.45E-05,1,0.0017812,-6.33097E-05
177,0.210867984,0.49534166,0.087598299,0.204405686,2.19E-04,0.00151912,3.41E-05,1.46E-05,1,0.001737716,0.000252655
178,0.210134215,0.494996066,0.08790824,0.20512864,-1.59E-04,0.001942898,3.42E-05,1.46E-05,1,0.001784012,-0.000124705
179,0.210126789,0.494012348,0.088216517,0.205848098,1.05E-04,0.001641995,3.43E-05,1.47E-05,1,0.001747248,0.000139553
180,0.209771552,0.493341506,0.088523316,0.206563922,6.02E-05,0.001690382,3.44E-05,1.48E-05,1,0.001750535,9.45728E-05
181,0.209321009,0.492759952,0.088828602,0.207276164,-7.07E-05,0.001835588,3.45E-05,1.48E-05,1,0.001764932,-3.61165E-05
182,0.209442969,0.491676407,0.089132274,0.207984943,3.04E-04,0.001409904,3.47E-05,1.49E-05,1,0.001713899,0.00033865
183,0.20865484,0.491403487,0.089434583,0.208690057,-1.28E-04,0.001895676,3.48E-05,1.49E-05,1,0.001767357,-9.35436E-05
184,0.208523389,0.490554,0.089735278,0.209391754,1.94E-05,0.001726381,3.49E-05,1.50E-05,1,0.001745736,5.4246E-05
185,0.208383155,0.4897171,0.090034477,0.210089954,1.58E-04,0.001567366,3.50E-05,1.50E-05,1,0.001725304,0.000192945
